N,ARRAYavg,BSTavg,HASHavg
1,1e-06,3e-06,1e-06
2,2e-06,1.15e-05,1.5e-06
3,2.33333e-06,8.66667e-06,1.33333e-06
4,2.25e-06,7.25e-06,1.25e-06
5,2e-06,6e-06,1.2e-06
6,1.83333e-06,5.33333e-06,1.16667e-06
7,1.71429e-06,4.71429e-06,1.14286e-06
8,1.625e-06,4.25e-06,1e-06
9,1.55556e-06,3.88889e-06,1e-06
10,1.6e-06,3.6e-06,1e-06
11,1.54545e-06,3.36364e-06,1e-06
12,1.5e-06,3.16667e-06,9.16667e-07
13,1.46154e-06,3.53846e-06,8.46154e-07
14,1.35714e-06,3.35714e-06,8.57143e-07
15,1.33333e-06,3.2e-06,8e-07
16,1.3125e-06,3.0625e-06,8.125e-07
17,1.29412e-06,2.94118e-06,7.64706e-07
18,1.33333e-06,2.88889e-06,7.77778e-07
19,1.31579e-06,2.78947e-06,7.89474e-07
20,1.3e-06,2.65e-06,8e-07
21,1.28571e-06,2.57143e-06,7.61905e-07
22,1.27273e-06,2.5e-06,7.72727e-07
23,1.26087e-06,2.43478e-06,7.3913e-07
24,1.25e-06,2.375e-06,7.5e-07
25,1.24e-06,2.32e-06,7.2e-07
26,1.23077e-06,2.26923e-06,7.30769e-07
27,1.22222e-06,2.22222e-06,7.03704e-07
28,1.21429e-06,2.14286e-06,6.78571e-07
29,1.2069e-06,2.10345e-06,6.89655e-07
30,1.2e-06,2.06667e-06,6.66667e-07
31,1.19355e-06,2e-06,6.77419e-07
32,1.1875e-06,1.96875e-06,6.5625e-07
33,1.21212e-06,1.93939e-06,6.66667e-07
34,1.67647e-06,2.32353e-06,6.76471e-07
35,1.65714e-06,2.28571e-06,6.57143e-07
36,1.63889e-06,2.25e-06,6.66667e-07
37,1.62162e-06,2.18919e-06,6.48649e-07
38,1.63158e-06,2.15789e-06,6.57895e-07
39,1.61538e-06,2.12821e-06,6.41026e-07
40,1.6e-06,2.1e-06,6.5e-07
41,1.58537e-06,2.07317e-06,6.34146e-07
42,1.59524e-06,2.02381e-06,6.42857e-07
43,1.5814e-06,2e-06,6.27907e-07
44,1.56818e-06,1.97727e-06,6.36364e-07
45,1.55556e-06,1.95556e-06,6.22222e-07
46,1.56522e-06,1.91304e-06,6.30435e-07
47,1.55319e-06,1.89362e-06,6.17021e-07
48,1.54167e-06,1.875e-06,6.04167e-07
49,1.55102e-06,1.83673e-06,6.12245e-07
50,1.54e-06,1.82e-06,6e-07
51,1.52941e-06,1.80392e-06,6.07843e-07
52,1.53846e-06,1.76923e-06,5.96154e-07
53,1.5283e-06,1.75472e-06,6.03774e-07
54,1.51852e-06,1.74074e-06,5.92593e-07
55,1.52727e-06,1.72727e-06,6e-07
56,1.51786e-06,1.71429e-06,5.89286e-07
57,1.52632e-06,1.68421e-06,5.78947e-07
58,1.51724e-06,1.67241e-06,5.86207e-07
59,1.52542e-06,1.66102e-06,5.76271e-07
60,1.51667e-06,1.63333e-06,5.83333e-07
61,1.52459e-06,1.62295e-06,5.7377e-07
62,1.51613e-06,1.59677e-06,5.80645e-07
63,1.52381e-06,1.5873e-06,5.71429e-07
64,1.51562e-06,1.57813e-06,5.78125e-07
65,1.52308e-06,1.56923e-06,5.69231e-07
66,1.5303e-06,1.56061e-06,5.75758e-07
67,1.53731e-06,1.55224e-06,5.8209e-07
68,1.54412e-06,1.52941e-06,5.73529e-07
69,1.53623e-06,1.52174e-06,5.7971e-07
70,1.54286e-06,1.51429e-06,5.71429e-07
71,1.5493e-06,1.49296e-06,5.6338e-07
72,1.54167e-06,1.48611e-06,5.69444e-07
73,1.54795e-06,1.47945e-06,5.61644e-07
74,1.55405e-06,1.45946e-06,5.67568e-07
75,1.56e-06,1.45333e-06,5.6e-07
76,1.55263e-06,1.44737e-06,5.65789e-07
77,1.55844e-06,1.42857e-06,5.58442e-07
78,1.5641e-06,1.42308e-06,5.64103e-07
79,1.56962e-06,1.40506e-06,5.56962e-07
80,1.5625e-06,1.4e-06,5.625e-07
81,1.5679e-06,1.39506e-06,5.55556e-07
82,1.57317e-06,1.39024e-06,5.60976e-07
83,1.57831e-06,1.37349e-06,5.54217e-07
84,1.58333e-06,1.36905e-06,5.47619e-07
85,1.58824e-06,1.36471e-06,5.52941e-07
86,1.5814e-06,1.34884e-06,5.46512e-07
87,1.58621e-06,1.34483e-06,5.51724e-07
88,1.59091e-06,1.32955e-06,5.45455e-07
89,1.59551e-06,1.33708e-06,5.50562e-07
90,1.6e-06,1.32222e-06,5.44444e-07
91,1.6044e-06,1.31868e-06,5.49451e-07
92,1.6087e-06,1.31522e-06,5.43478e-07
93,1.6129e-06,1.30108e-06,5.48387e-07
94,1.61702e-06,1.29787e-06,5.42553e-07
95,1.62105e-06,1.28421e-06,5.36842e-07
96,1.625e-06,1.28125e-06,5.41667e-07
97,1.62887e-06,1.27835e-06,5.36082e-07
98,1.62245e-06,1.26531e-06,5.40816e-07
99,1.62626e-06,1.26263e-06,5.35354e-07
100,1.63e-06,1.25e-06,5.4e-07
101,1.63366e-06,1.24752e-06,5.34653e-07
102,1.63725e-06,1.2451e-06,5.39216e-07
103,1.64078e-06,1.23301e-06,5.33981e-07
104,1.64423e-06,1.23077e-06,5.38462e-07
105,1.64762e-06,1.21905e-06,5.33333e-07
106,1.65094e-06,1.21698e-06,5.28302e-07
107,1.66355e-06,1.21495e-06,5.3271e-07
108,1.66667e-06,1.21296e-06,5.27778e-07
109,1.66972e-06,1.20183e-06,5.3211e-07
110,1.68182e-06,1.2e-06,5.27273e-07
111,1.68468e-06,1.18919e-06,5.31532e-07
112,1.6875e-06,1.1875e-06,5.26786e-07
113,1.69912e-06,1.18584e-06,5.30973e-07
114,1.70175e-06,1.17544e-06,5.26316e-07
115,1.70435e-06,1.17391e-06,5.30435e-07
116,1.71552e-06,1.17241e-06,5.25862e-07
117,1.71795e-06,1.16239e-06,5.21368e-07
118,1.72881e-06,1.16102e-06,5.25424e-07
119,1.73109e-06,1.15126e-06,5.21008e-07
120,1.74167e-06,1.15e-06,5.25e-07
121,1.7438e-06,1.14876e-06,5.20661e-07
122,1.7541e-06,1.13934e-06,5.2459e-07
123,1.7561e-06,1.13821e-06,5.20325e-07
124,1.76613e-06,1.12903e-06,5.16129e-07
125,1.768e-06,1.128e-06,5.2e-07
126,1.77778e-06,1.12698e-06,5.15873e-07
127,1.77953e-06,1.11811e-06,5.19685e-07
128,1.78906e-06,1.11719e-06,5.15625e-07
129,1.7907e-06,1.11628e-06,5.1938e-07
130,1.86923e-06,1.14615e-06,5.23077e-07
131,1.87786e-06,1.1374e-06,5.19084e-07
132,1.87879e-06,1.13636e-06,5.22727e-07
133,1.88722e-06,1.13534e-06,5.18797e-07
134,1.89552e-06,1.12687e-06,5.22388e-07
135,1.9037e-06,1.12593e-06,5.18519e-07
136,1.91176e-06,1.11765e-06,5.22059e-07
137,1.91241e-06,1.11679e-06,5.18248e-07
138,1.92029e-06,1.11594e-06,5.14493e-07
139,1.92806e-06,1.10791e-06,5.17986e-07
140,1.92857e-06,1.10714e-06,5.14286e-07
141,1.93617e-06,1.09929e-06,5.1773e-07
142,1.94366e-06,1.09859e-06,5.14085e-07
143,1.94406e-06,1.0979e-06,5.17483e-07
144,1.95139e-06,1.09028e-06,5.13889e-07
145,1.95862e-06,1.08966e-06,5.10345e-07
146,1.9589e-06,1.08219e-06,5.13699e-07
147,1.96599e-06,1.08163e-06,5.10204e-07
148,1.97297e-06,1.08108e-06,5.13514e-07
149,1.97315e-06,1.07383e-06,5.10067e-07
150,1.98e-06,1.07333e-06,5.13333e-07
151,1.98675e-06,1.06623e-06,5.09934e-07
152,1.99342e-06,1.06579e-06,5.13158e-07
153,2e-06,1.06536e-06,5.09804e-07
154,2e-06,1.05844e-06,5.06494e-07
155,2.00645e-06,1.05806e-06,5.09677e-07
156,2.01282e-06,1.05769e-06,5.0641e-07
157,2.01911e-06,1.05096e-06,5.09554e-07
158,2.02532e-06,1.05063e-06,5.06329e-07
159,2.02516e-06,1.04403e-06,5.09434e-07
160,2.03125e-06,1.04375e-06,5.0625e-07
161,2.03727e-06,1.04348e-06,5.03106e-07
162,2.04321e-06,1.03704e-06,5.06173e-07
163,2.04294e-06,1.03681e-06,5.03067e-07
164,2.04878e-06,1.03659e-06,5.06098e-07
165,2.06061e-06,1.0303e-06,5.0303e-07
166,2.06024e-06,1.03012e-06,5.06024e-07
167,2.06587e-06,1.02395e-06,5.02994e-07
168,2.07143e-06,1.02381e-06,5e-07
169,2.07692e-06,1.02367e-06,5.02959e-07
170,2.08235e-06,1.01765e-06,5e-07
171,2.08772e-06,1.01754e-06,5.02924e-07
172,2.08721e-06,1.01163e-06,5e-07
173,2.09249e-06,1.01156e-06,5.0289e-07
174,2.0977e-06,1.01149e-06,5e-07
175,2.10286e-06,1.00571e-06,4.97143e-07
176,2.10795e-06,1.00568e-06,5e-07
177,2.11299e-06,1e-06,4.97175e-07
178,2.11236e-06,1e-06,5e-07
179,2.11732e-06,9.94413e-07,4.97207e-07
180,2.12222e-06,9.94444e-07,5e-07
181,2.12707e-06,9.94475e-07,4.97238e-07
182,2.13187e-06,9.89011e-07,4.94505e-07
183,2.13661e-06,9.89071e-07,4.97268e-07
184,2.1413e-06,9.8913e-07,4.94565e-07
185,2.14595e-06,9.83784e-07,4.97297e-07
186,2.15591e-06,9.83871e-07,4.94624e-07
187,2.16043e-06,9.7861e-07,4.97326e-07
188,2.16489e-06,9.78723e-07,4.94681e-07
189,2.16931e-06,9.73545e-07,4.92063e-07
190,2.17368e-06,9.73684e-07,4.94737e-07
191,2.18325e-06,9.73822e-07,4.92147e-07
